Dataset,Model,Measure,Drift Strength,Mean_Value,Std_Value
wikitext,bert-base-uncased,hellinger,0.5,0.7122778292909254,0.035795422539943236
wikitext,bert-base-uncased,hellinger,0.75,0.7643561671731615,0.031092927837490788
wikitext,bert-base-uncased,hellinger,1.0,0.7393721725157212,0.02949337639049633
wikitext,bert-base-uncased,js,0.0,0.31462352702995716,0.05347511227134142
wikitext,bert-base-uncased,js,0.25,0.37112778429951804,0.00872827652891725
wikitext,bert-base-uncased,js,0.5,0.37871204174943357,0.023762016490303378
wikitext,bert-base-uncased,js,0.75,0.38031441936358806,0.026512506585007745
wikitext,bert-base-uncased,js,1.0,0.3847137757421691,0.011590520630817471
wikitext,bert-base-uncased,kl,0.0,9.100125499337715,1.43495002211572
wikitext,bert-base-uncased,kl,0.25,10.233414117281159,0.7047646988492802
wikitext,bert-base-uncased,kl,0.5,11.826908263191235,1.5022484272346193
wikitext,bert-base-uncased,kl,0.75,11.529934219881818,1.234146044450491
wikitext,bert-base-uncased,kl,1.0,11.36288944201388,0.4154418590899772
wikitext,bert-base-uncased,mmd,0.0,0.14704596996307373,0.06878856957841606
wikitext,bert-base-uncased,mmd,0.25,0.1996255417664846,0.05896740016343736
wikitext,bert-base-uncased,mmd,0.5,0.22273215651512146,0.050406754360155674
wikitext,bert-base-uncased,mmd,0.75,0.23384821911652884,0.0476188476955572
wikitext,bert-base-uncased,mmd,1.0,0.236892099181811,0.04948809238581158
wikitext,bert-base-uncased,wasserstein,0.0,2.8665906067689257,1.7704720016547149
wikitext,bert-base-uncased,wasserstein,0.25,3.6882310662666957,2.032848490138017
wikitext,bert-base-uncased,wasserstein,0.5,3.9802954294284185,2.068139261799676
wikitext,bert-base-uncased,wasserstein,0.75,4.036889727115631,2.0541635751427725
wikitext,bert-base-uncased,wasserstein,1.0,4.079250305493672,2.1045884895264773
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.0,0.7339090511951181,0.19140982994107683
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.25,0.848833823790821,0.09073911957224483
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.5,0.792393208447618,0.07482313144749758
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.75,0.8423807158175304,0.08951101597179725
