Dataset,Model,Measure,Drift Strength,Mean,Std
ag_news,bert-base-uncased,bhattacharyya,0.75,0.28082830920703467,0.020280003203771043
ag_news,bert-base-uncased,bhattacharyya,1.0,0.3042770484423695,0.014521616758767585
ag_news,bert-base-uncased,mmd,0.0,0.017587976530194283,0.0006985906511545181
ag_news,bert-base-uncased,mmd,0.25,0.18765591084957123,0.0013369767693802714
ag_news,bert-base-uncased,mmd,0.5,0.2910330593585968,0.0025651005562394857
ag_news,bert-base-uncased,mmd,0.75,0.329560250043869,0.001293705776333809
ag_news,bert-base-uncased,mmd,1.0,0.3391002118587494,0.0010375184938311577
ag_news,bert-base-uncased,wasserstein,0.0,0.11966384635667009,0.006284035457762536
ag_news,bert-base-uncased,wasserstein,0.25,1.5381918736120064,0.07179838820443066
ag_news,bert-base-uncased,wasserstein,0.5,2.231447137014071,0.07333699033347155
ag_news,bert-base-uncased,wasserstein,0.75,2.5129788764039676,0.07854415485230895
ag_news,bert-base-uncased,wasserstein,1.0,2.6305412989238897,0.09516909507663968
