batch,t_data,t_ipca,t_kll,throughput_sps,ipca_mem_delta,kll_mem_delta,pca_mse,kll_median_err,mode,kll_k,n_components,seed
20,0.0,0.006487249997007893,0.0,154148.52217214208,0.0,0.0,0.9811977591150135,,pca,8,2,101
21,0.0,0.006300124998233514,0.0,158727.00942923976,0.0,0.0,,,pca,8,2,101
22,0.0,0.004129500000999542,0.0,242160.06774620435,0.0,0.0,,,pca,8,2,101
23,0.0,0.0040165419995901175,0.0,248970.3830065884,0.0,0.0,,,pca,8,2,101
24,0.0,0.0066282089974265546,0.0,150870.3181188548,0.0,0.0,,,pca,8,2,101
25,0.0,0.007997208002052503,0.0,125043.64019834767,0.0,0.0,0.9811819626978775,,pca,8,2,101
26,0.0,0.007209499999589752,0.0,138705.874201665,0.0,0.0,,,pca,8,2,101
27,0.0,0.008021959001780488,0.0,124657.82981165178,0.0,0.0,,,pca,8,2,101
28,0.0,0.005535625001357403,0.0,180648.074924654,0.0,0.0,,,pca,8,2,101
29,0.0,0.005959250000159955,0.0,167806.351465899,0.0,0.0,,,pca,8,2,101
30,0.0,0.01393149999785237,0.0,71779.77964714183,0.0,0.0,0.9811439795659735,,pca,8,2,101
31,0.0,0.006060250001610257,0.0,165009.69427569688,0.0,0.0,,,pca,8,2,101
32,0.0,0.008484416001010686,0.0,117863.15049626013,0.0,0.0,,,pca,8,2,101
33,0.0,0.004255625000951113,0.0,234983.11053640876,0.0,0.0,,,pca,8,2,101
34,0.0,0.014028665998921497,0.0,71282.61518785026,0.0,0.0,,,pca,8,2,101
35,0.0,0.010781042001326568,0.0,92755.41268431694,0.0,0.0,0.9811438082440036,,pca,8,2,101
36,0.0,0.012932666999404319,0.0,77323.5713906544,0.0,0.0,,,pca,8,2,101
37,0.0,0.010958250000840053,0.0,91255.44680248585,0.0,0.0,,,pca,8,2,101
38,0.0,0.009294459003285738,0.0,107590.98508546696,0.0,0.0,,,pca,8,2,101
39,0.0,0.008904540998628363,0.0,112302.25119453523,0.0,0.0,,,pca,8,2,101
40,0.0,0.011010917001840426,0.0,90818.95720700233,0.0,0.0,0.9811411436237936,,pca,8,2,101
41,0.0,0.008271791000879603,0.0,120892.80300888434,0.0,0.0,,,pca,8,2,101
42,0.0,0.009368249997351086,0.0,106743.52203269067,0.0,0.0,,,pca,8,2,101
43,0.0,0.009670208000898128,0.0,103410.39199023684,0.0,0.0,,,pca,8,2,101
44,0.0,0.00864329199976055,0.0,115696.65817465192,0.0,0.0,,,pca,8,2,101
45,0.0,0.037048834001325304,0.0,26991.40275141259,0.0,0.0,0.9811591809905927,,pca,8,2,101
46,0.0,0.010755749997770181,0.0,92973.52580780644,0.0,0.0,,,pca,8,2,101
47,0.0,0.009006917000078829,0.0,111025.7816288579,0.0,0.0,,,pca,8,2,101
48,0.0,0.009909583000990096,0.0,100912.41981626139,0.0,0.0,,,pca,8,2,101
49,0.0,0.008862167000188492,0.0,112839.21866725494,0.0,0.0,,,pca,8,2,101
50,0.0,0.007970167000166839,0.0,125467.8854256212,0.0,0.0,0.9811627350088722,,pca,8,2,101
51,0.0,0.008164374998159474,0.0,122483.34994723219,0.0,0.0,,,pca,8,2,101
52,0.0,0.007338583000091603,0.0,136266.08842436172,0.0,0.0,,,pca,8,2,101
53,0.0,0.009558292000292568,0.0,104621.20219484728,0.0,0.0,,,pca,8,2,101
54,0.0,0.009442209000553703,0.0,105907.42059843821,0.0,0.0,,,pca,8,2,101
55,0.0,0.0104629159977776,0.0,95575.65025012218,0.0,0.0,0.9811528792141561,,pca,8,2,101
56,0.0,0.00785770799848251,0.0,127263.57357554151,0.0,0.0,,,pca,8,2,101
57,0.0,0.006231125000340398,0.0,160484.6636755596,0.0,0.0,,,pca,8,2,101
58,0.0,0.008458250002149725,0.0,118227.76576074753,0.0,0.0,,,pca,8,2,101
59,0.0,0.007586792002257425,0.0,131808.01578617856,0.0,0.0,,,pca,8,2,101
60,0.0,0.008521457999449922,0.0,117350.81016236331,0.0,0.0,0.981142068503785,,pca,8,2,101
61,0.0,0.008489916999678826,0.0,117786.78166557224,0.0,0.0,,,pca,8,2,101
62,0.0,0.009137166998698376,0.0,109443.11296296256,0.0,0.0,,,pca,8,2,101
63,0.0,0.010422499999549473,0.0,95946.27009289771,0.0,0.0,,,pca,8,2,101
64,0.0,0.010460166999109788,0.0,95600.7681411879,0.0,0.0,,,pca,8,2,101
65,0.0,0.008896208000805927,0.0,112407.44370066524,0.0,0.0,0.9811485444363056,,pca,8,2,101
66,0.0,0.008819958002277417,0.0,113379.22467905043,0.0,0.0,,,pca,8,2,101
67,0.0,0.008623124998848652,0.0,115967.23927039428,0.0,0.0,,,pca,8,2,101
68,0.0,0.009216958002070896,0.0,108495.66633322151,0.0,0.0,,,pca,8,2,101
69,0.0,0.008346499998879153,0.0,119810.69911151854,0.0,0.0,,,pca,8,2,101
70,0.0,0.008709749999979977,0.0,114813.8580329285,0.0,0.0,0.9811435438888615,,pca,8,2,101
71,0.0,0.009028832999320002,0.0,110756.28490141683,0.0,0.0,,,pca,8,2,101
72,0.0,0.008855166997818742,0.0,112928.41797860233,0.0,0.0,,,pca,8,2,101
73,0.0,0.008538042002328439,0.0,117122.87193331757,0.0,0.0,,,pca,8,2,101
74,0.0,0.008546582997951191,0.0,117005.82563109988,0.0,0.0,,,pca,8,2,101
75,0.0,0.008141458001773572,0.0,122828.12240536713,0.0,0.0,0.9811409419808903,,pca,8,2,101
76,0.0,0.008540917002392234,0.0,117083.44662755872,0.0,0.0,,,pca,8,2,101
77,0.0,0.010107750000315718,0.0,98933.98629455267,0.0,0.0,,,pca,8,2,101
78,0.0,0.010428916997625493,0.0,95887.23356679174,0.0,0.0,,,pca,8,2,101
79,0.0,0.009336125000118045,0.0,107110.81953030365,0.0,0.0,,,pca,8,2,101
80,0.0,0.008119333000649931,0.0,123162.82629619363,0.0,0.0,0.9811318827928396,,pca,8,2,101
81,0.0,0.008781041997281136,0.0,113881.70109078499,0.0,0.0,,,pca,8,2,101
82,0.0,0.009489374999247957,0.0,105381.01825244034,0.0,0.0,,,pca,8,2,101
83,0.0,0.009223332999681588,0.0,108420.67613025816,0.0,0.0,,,pca,8,2,101
84,0.0,0.011692542000673711,0.0,85524.6019165363,0.0,0.0,,,pca,8,2,101
85,0.0,0.007665500001166947,0.0,130454.6343810275,0.0,0.0,0.9811241532256639,,pca,8,2,101
86,0.0,0.007881792000262067,0.0,126874.70057148811,0.0,0.0,,,pca,8,2,101
87,0.0,0.010712750001403037,0.0,93346.71301664195,0.0,0.0,,,pca,8,2,101
88,0.0,0.008690499998920131,0.0,115068.17790970123,0.0,0.0,,,pca,8,2,101
89,0.0,0.010109499999089167,0.0,98916.86038776366,0.0,0.0,,,pca,8,2,101
90,0.0,0.011090666997915832,0.0,90165.90257266951,0.0,0.0,0.9811232344775075,,pca,8,2,101
91,0.0,0.01241462500183843,0.0,80550.15756431741,0.0,0.0,,,pca,8,2,101
92,0.0,0.009532583000691375,0.0,104903.36144227357,0.0,0.0,,,pca,8,2,101
93,0.0,0.008052375000261236,0.0,124186.96346948048,0.0,0.0,,,pca,8,2,101
94,0.0,0.014409332998184254,0.0,69399.46492499075,0.0,0.0,,,pca,8,2,101
95,0.0,0.008232625001255656,0.0,121467.94003704506,0.0,0.0,0.9811334118258244,,pca,8,2,101
96,0.0,0.008909374999348074,0.0,112241.31884370935,0.0,0.0,,,pca,8,2,101
97,0.0,0.010351375000027474,0.0,96605.52342054519,0.0,0.0,,,pca,8,2,101
98,0.0,0.013185167001211084,0.0,75842.80122566123,0.0,0.0,,,pca,8,2,101
99,0.0,0.009013499999127816,0.0,110944.69408074157,0.0,0.0,,,pca,8,2,101
100,0.0,0.008268833000329323,0.0,120936.04985856806,0.0,0.0,0.9811325115246368,,pca,8,2,101
1,0.0,0.006417332999262726,0.0,155827.97403763962,0.0,0.0,,,pca,8,2,202
2,0.0,0.011878583001816878,0.0,84185.1254351673,0.0,0.0,,,pca,8,2,202
3,0.0,0.008842541003104998,0.0,113089.66502375921,0.0,0.0,,,pca,8,2,202
4,0.0,0.00858137500108569,0.0,116531.44162485418,0.0,0.0,,,pca,8,2,202
5,0.0,0.008552416002203245,0.0,116926.02414830889,0.0,0.0,0.982470738344355,,pca,8,2,202
6,0.0,0.009496457998466212,0.0,105302.4190873599,0.0,0.0,,,pca,8,2,202
7,0.0,0.008979707999969833,0.0,111362.19574215103,0.0,0.0,,,pca,8,2,202
8,0.0,0.010544541000854224,0.0,94835.80175931688,0.0,0.0,,,pca,8,2,202
9,0.0,0.008479000000079395,0.0,117938.43613523249,0.0,0.0,,,pca,8,2,202
10,0.0,0.010141499999008374,0.0,98604.7428977744,0.0,0.0,0.9824447415834028,,pca,8,2,202
11,0.0,0.010299917001248104,0.0,97088.16098992097,0.0,0.0,,,pca,8,2,202
12,0.0,0.009420999998837942,0.0,106145.84440328497,0.0,0.0,,,pca,8,2,202
13,0.0,0.016932792001171038,0.0,59057.006070283154,0.0,0.0,,,pca,8,2,202
14,0.0,0.008783374996710336,0.0,113851.45236022976,0.0,0.0,,,pca,8,2,202
15,0.0,0.009057249997567851,0.0,110408.78856921589,0.0,0.0,0.9824346046517586,,pca,8,2,202
16,0.0,0.00852649999796995,0.0,117281.41678743766,0.0,0.0,,,pca,8,2,202
17,0.0,0.008507165999617428,0.0,117547.95898481006,0.0,0.0,,,pca,8,2,202
18,0.0,0.007403625000733882,0.0,135068.96957920954,0.0,0.0,,,pca,8,2,202
19,0.0,0.01076808400102891,0.0,92867.03186049145,0.0,0.0,,,pca,8,2,202
20,0.0,0.007790832998580299,0.0,128355.97941609415,0.0,0.0,0.9824210157386827,,pca,8,2,202
21,0.0,0.008219166000344558,0.0,121666.84551182915,0.0,0.0,,,pca,8,2,202
22,0.0,0.005452459001389798,0.0,183403.48817755553,16384.0,0.0,,,pca,8,2,202
23,0.0,0.003970333000324899,0.0,251868.0422821381,16384.0,0.0,,,pca,8,2,202
24,0.0,0.004467208000278333,0.0,223853.4672971785,16384.0,0.0,,,pca,8,2,202
25,0.0,0.004079291000380181,0.0,245140.63838711244,16384.0,0.0,0.9824706252691471,,pca,8,2,202
26,0.0,0.008159375000104774,0.0,122558.4067391386,16384.0,0.0,,,pca,8,2,202
27,0.0,0.00894391699694097,0.0,111807.83546426285,16384.0,0.0,,,pca,8,2,202
28,0.0,0.005439083000965184,0.0,183854.52103278192,16384.0,0.0,,,pca,8,2,202
29,0.0,0.004383457999210805,0.0,228130.39389907225,16384.0,0.0,,,pca,8,2,202
30,0.0,0.004030959000374423,0.0,248079.92338972265,16384.0,0.0,0.9824559304490155,,pca,8,2,202
31,0.0,0.00397391700244043,0.0,251640.88716142988,16384.0,0.0,,,pca,8,2,202
32,0.0,0.006921166997926775,0.0,144484.30449656083,16384.0,0.0,,,pca,8,2,202
33,0.0,0.004158374998951331,0.0,240478.55237975952,16384.0,0.0,,,pca,8,2,202
34,0.0,0.009094165998249082,0.0,109960.60553463968,16384.0,0.0,,,pca,8,2,202
35,0.0,0.00945670800138032,0.0,105745.04360862554,16384.0,0.0,0.9824698921486881,,pca,8,2,202
36,0.0,0.009115333999943687,0.0,109705.25051590845,16384.0,0.0,,,pca,8,2,202
37,0.0,0.00437245799912489,0.0,228704.31235706355,16384.0,0.0,,,pca,8,2,202
38,0.0,0.004221582999889506,0.0,236877.96734688708,32768.0,0.0,,,pca,8,2,202
39,0.0,0.003991333000158193,0.0,250542.86374010035,32768.0,0.0,,,pca,8,2,202
