Dataset,Model,Measure,Drift Strength,Mean,Std
ag_news,nlpaueb/sec-bert-base,hellinger,0.25,2.237503064501231,0.20121261710882143
ag_news,nlpaueb/sec-bert-base,hellinger,0.5,2.3006015905849195,0.18322596624463638
ag_news,nlpaueb/sec-bert-base,hellinger,0.75,2.3703229056070625,0.19782688344275146
ag_news,nlpaueb/sec-bert-base,hellinger,1.0,2.513358252651908,0.17584179312238393
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.0,-2.086084340002449,0.03452594102749526
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.25,-2.034621733919083,0.03701184746025467
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.5,-2.029144982189926,0.024743175845874342
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.75,-1.9475432648642161,0.0523615595865495
ag_news,nlpaueb/sec-bert-base,bhattacharyya,1.0,-1.913705052977783,0.018996741867835863
ag_news,nlpaueb/sec-bert-base,mmd,0.0,0.03718767786607298,0.0018690322618793633
ag_news,nlpaueb/sec-bert-base,mmd,0.25,0.10538960857699152,0.0007700025900142388
ag_news,nlpaueb/sec-bert-base,mmd,0.5,0.1928067908286681,0.007174880511214986
ag_news,nlpaueb/sec-bert-base,mmd,0.75,0.2521453277438905,0.00957450765972071
ag_news,nlpaueb/sec-bert-base,mmd,1.0,0.2839659381354574,0.003255146517367305
ag_news,nlpaueb/sec-bert-base,wasserstein,0.0,0.24176217812299727,0.016692271371140543
ag_news,nlpaueb/sec-bert-base,wasserstein,0.25,0.7132807585994403,0.10582910146732252
ag_news,nlpaueb/sec-bert-base,wasserstein,0.5,1.3278186845382054,0.1896910655614602
ag_news,nlpaueb/sec-bert-base,wasserstein,0.75,1.7537052322626112,0.22701487537800075
ag_news,nlpaueb/sec-bert-base,wasserstein,1.0,2.0286656662424405,0.29861443258000236
ag_news,bert-base-uncased,kl,0.0,55.800211098369864,9.085218052564134
ag_news,bert-base-uncased,kl,0.25,61.1557240602676,11.573711387116575
ag_news,bert-base-uncased,kl,0.5,71.30254486816246,11.746153136324873
ag_news,bert-base-uncased,kl,0.75,76.66876076851267,12.56432994032328
ag_news,bert-base-uncased,kl,1.0,78.6286789320927,13.062214053872006
ag_news,bert-base-uncased,js,0.0,1.818041043805998,0.2727584580582406
ag_news,bert-base-uncased,js,0.25,1.8139733928675514,0.3459578513215308
ag_news,bert-base-uncased,js,0.5,1.9090457112278132,0.32087850286713354
ag_news,bert-base-uncased,js,0.75,1.9809167744405454,0.3615501643099622
ag_news,bert-base-uncased,js,1.0,2.074583871017824,0.3554038121321797
ag_news,bert-base-uncased,hellinger,0.0,1.582115596470013,0.11922335617803714
ag_news,bert-base-uncased,hellinger,0.25,1.5623738723365441,0.1517560310762265
ag_news,bert-base-uncased,hellinger,0.5,1.6266096636528034,0.12532647455824822
ag_news,bert-base-uncased,hellinger,0.75,1.6394463834276423,0.13978727139751893
ag_news,bert-base-uncased,hellinger,1.0,1.6718808118135702,0.15429804918639095
ag_news,bert-base-uncased,bhattacharyya,0.0,-1.4467803327663458,0.09024977112934474
ag_news,bert-base-uncased,bhattacharyya,0.25,-1.4567954384484658,0.0721461178296499
ag_news,bert-base-uncased,bhattacharyya,0.5,-1.4133807779903222,0.04563313206681187
ag_news,bert-base-uncased,bhattacharyya,0.75,-1.3928001479066656,0.09609839595573655
ag_news,bert-base-uncased,bhattacharyya,1.0,-1.353848132604653,0.08555405153156084
ag_news,bert-base-uncased,mmd,0.0,0.04031181551312681,0.0034063709969600767
ag_news,bert-base-uncased,mmd,0.25,0.1925154619406483,0.005752267417759921
ag_news,bert-base-uncased,mmd,0.5,0.2924160082654166,0.004072645755912523
ag_news,bert-base-uncased,mmd,0.75,0.33047647050857826,0.0033494935228223816
ag_news,bert-base-uncased,mmd,1.0,0.3402975820748071,0.004398556661740952
ag_news,bert-base-uncased,wasserstein,0.0,0.31691112597783405,0.08438420261131654
ag_news,bert-base-uncased,wasserstein,0.25,1.4189821464866401,0.21000138637700808
ag_news,bert-base-uncased,wasserstein,0.5,2.0831964231530824,0.14099559018965058
ag_news,bert-base-uncased,wasserstein,0.75,2.279828682512045,0.16413948823269164
ag_news,bert-base-uncased,wasserstein,1.0,2.4032595168054103,0.14203249497886097
