Dataset,Model,Measure,Drift Strength,Mean_Value,Std_Value
wikitext,bert-base-uncased,bhattacharyya,0.5,0.3608465505121558,0.002021218994524066
wikitext,bert-base-uncased,bhattacharyya,0.75,0.3801753057087682,0.0008379226962782017
wikitext,bert-base-uncased,bhattacharyya,1.0,0.38423054115995076,0.002788928991737288
wikitext,bert-base-uncased,hellinger,0.0,0.14564302441327034,0.001835715196896988
wikitext,bert-base-uncased,hellinger,0.25,0.49566426307332073,0.004136188897300854
wikitext,bert-base-uncased,hellinger,0.5,0.5540564715961321,0.0005483639499150226
wikitext,bert-base-uncased,hellinger,0.75,0.5610095843865491,0.001925788649157287
wikitext,bert-base-uncased,hellinger,1.0,0.5651956750130785,0.0029486221941366166
wikitext,bert-base-uncased,js,0.0,0.01768866651915123,0.0010393107500758563
wikitext,bert-base-uncased,js,0.25,0.19182552022505325,0.003623934888522908
wikitext,bert-base-uncased,js,0.5,0.23237914500245624,0.0011101077554961942
wikitext,bert-base-uncased,js,0.75,0.24128507316950384,0.0016878354560727078
wikitext,bert-base-uncased,js,1.0,0.24376871173273718,0.0020706824109140965
wikitext,bert-base-uncased,kl,0.0,0.28226009040678246,0.03576592937172169
wikitext,bert-base-uncased,kl,0.25,5.7825814540156415,0.14685393708305414
wikitext,bert-base-uncased,kl,0.5,8.321193245818465,0.470740232612181
wikitext,bert-base-uncased,kl,0.75,9.039528531883223,0.13503752053860155
wikitext,bert-base-uncased,kl,1.0,8.885662154740535,0.15693850615407529
wikitext,bert-base-uncased,mmd,0.0,0.018129320815205574,0.005908462535579074
wikitext,bert-base-uncased,mmd,0.25,0.12433408449093501,0.004615657757488078
wikitext,bert-base-uncased,mmd,0.5,0.160228098432223,0.004893073263398447
wikitext,bert-base-uncased,mmd,0.75,0.17177017529805502,0.004686913667197674
wikitext,bert-base-uncased,mmd,1.0,0.17533361911773682,0.005128597715161235
wikitext,bert-base-uncased,wasserstein,0.0,0.3423535393873853,0.20952334546980014
wikitext,bert-base-uncased,wasserstein,0.25,1.6592339589834217,0.1442703429599493
wikitext,bert-base-uncased,wasserstein,0.5,1.9665692042112353,0.12113023071594974
wikitext,bert-base-uncased,wasserstein,0.75,2.091072394529979,0.11275341833527161
wikitext,bert-base-uncased,wasserstein,1.0,2.1521104220549265,0.11402311333681521
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.0,0.06306440955777785,0.004933433219986322
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.25,0.0799114877087327,0.008469793629442852
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.5,0.13376234479095578,0.011682176177371412
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.75,0.19214182526033197,0.016032146905695384
wikitext,nlpaueb/sec-bert-base,bhattacharyya,1.0,0.2348559924850426,0.018527757595218738
wikitext,nlpaueb/sec-bert-base,hellinger,0.0,0.24708726945727197,0.00926871644289803
